"ID","CLASS","METHOD","LABEL","OD","THICK","WIDTH","DEPTH","WEBTHICK","FLANGETHICK","ROOTRADIUS","ROOTCHAMFER","TOERADIUS","RADIUS","LIP","FLANGE","EXT"
"#X#235","SZGEShape-HotAngle","Make","125x75x10 UA",,,"75","125","9.5","9.5","8",,"5",,,,
"#X#236","SZGEShape-HotAngle","Make","125x75x8 UA",,,"75","125","7.8","7.8","8",,"5",,,,
"#X#237","SZGEShape-HotAngle","Make","125x75x6 UA",,,"75","125","6","6","8",,"5",,,,
"#X#238","SZGEShape-HotAngle","Make","100x75x10 UA",,,"75","100","9.5","9.5","8",,"5",,,,
"#X#239","SZGEShape-HotAngle","Make","100x75x8 UA",,,"75","100","7.8","7.8","8",,"5",,,,
"#X#240","SZGEShape-HotAngle","Make","100x75x6 UA",,,"75","100","6","6","8",,"5",,,,
"#X#241","SZGEShape-HotAngle","Make","75x50x8 UA",,,"50","75","7.8","7.8","7",,"3",,,,
"#X#242","SZGEShape-HotAngle","Make","75x50x6 UA",,,"50","75","6","6","7",,"3",,,,
"#X#243","SZGEShape-HotAngle","Make","75x50x5 UA",,,"50","75","4.6","4.6","7",,"3",,,,
"#X#244","SZGEShape-HotAngle","Make","65x50x8 UA",,,"50","65","7.8","7.8","6",,"3",,,,
"#X#245","SZGEShape-HotAngle","Make","65x50x6 UA",,,"50","65","6","6","6",,"3",,,,
"#X#246","SZGEShape-HotAngle","Make","65x50x5 UA",,,"50","65","4.6","4.6","6",,"3",,,,
"#X#247","SZGEShape-ZPurlin","Make","Z10010",,"1",,"102",,,,,,"5","12.5","49","53"
"#X#248","SZGEShape-ZPurlin","Make","Z10012",,"1.2",,"102",,,,,,"5","12.5","49","53"
"#X#249","SZGEShape-ZPurlin","Make","Z10015",,"1.5",,"102",,,,,,"5","13.5","49","53"
"#X#250","SZGEShape-ZPurlin","Make","Z10019",,"1.9",,"102",,,,,,"5","14.5","49","53"
"#X#251","SZGEShape-ZPurlin","Make","Z15012",,"1.2",,"152",,,,,,"5","14.5","61","65"
"#X#252","SZGEShape-ZPurlin","Make","Z15015",,"1.5",,"152",,,,,,"5","15.5","61","65"
